cinema,date,time,title,href,poster,year,valid
Coming Soon,08/10/2024,,Joker: Folie à Deux,,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,09/10/2024,,Combat Wombat: Back 2 Back,,https://m.media-amazon.com/images/M/MV5BMzVjYjE2YzYtZmRiNS00Njk1LThkOTEtY2M2NDVmNTQxOTQyXkEyXkFqcGdeQXVyOTYwODIxOTk@._V1_SX300.jpg,2023,yes
Coming Soon,09/10/2024,,The Master and Margarita,,https://m.media-amazon.com/images/M/MV5BYmRmZDE1NmItZWZhZi00MTczLTllZDAtMDczNjAwNjI3MjQwXkEyXkFqcGc@._V1_SX300.jpg,2023,yes
Coming Soon,10/10/2024,,The Silent Hour,,https://m.media-amazon.com/images/M/MV5BOWE5NDg3NTYtZWEyNS00YjBlLTljZDYtOTVkN2Q4MDZjYWIyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,10/10/2024,,Hellboy: The Crooked Man,,https://m.media-amazon.com/images/M/MV5BOWNmZTQ0Y2UtNDJhZC00Y2MwLWFjOWQtM2ZmNjFmMTU5Mjg5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,10/10/2024,,1 Million Followers,,N/A,2025,yes
Coming Soon,10/10/2024,,Jigra,,https://m.media-amazon.com/images/M/MV5BNmJhMTc5NDEtN2NkOC00Njc3LWJiMzgtZjhjZWNhZDhmZTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,10/10/2024,,One Million Followers,,,,no
Coming Soon,10/10/2024,,Good Guys 2,,,,no
Coming Soon,10/10/2024,,Anselm,,https://m.media-amazon.com/images/M/MV5BYTJhYTUzZTYtMTVhZS00MmZjLWI0MjUtZDk5YTJlYWFjYzdjXkEyXkFqcGc@._V1_SX300.jpg,2023,yes
Coming Soon,13/10/2024,,Spirited Away: Live on Stage,,https://m.media-amazon.com/images/M/MV5BZDA0NjQ4NzktNDNiOC00MThmLWFhYjEtYTc2NDA2MDllZTE2XkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_SX300.jpg,2022,yes
Coming Soon,13/10/2024,,Ghostbusters: Frozen Empire,,https://m.media-amazon.com/images/M/MV5BNGE5MWJmZWYtN2ZlMi00ZjY1LTlhYTUtMzQ2Y2IxZWQyYTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2024,yes
Coming Soon,13/10/2024,,Paddington,,https://m.media-amazon.com/images/M/MV5BMTAxOTMwOTkwNDZeQTJeQWpwZ15BbWU4MDEyMTI1NjMx._V1_SX300.jpg,2014,yes
Coming Soon,13/10/2024,,Paddington 2,,https://m.media-amazon.com/images/M/MV5BMmYwNWZlNzEtNjE4Zi00NzQ4LWI2YmUtOWZhNzZhZDYyNmVmXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg,2017,yes
Coming Soon,13/10/2024,,Inside Out 2,,https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
