cinema,date,time,title,href,poster,year,valid
Haifa Cinemateque,09/10/2024,18:15,Anselm,https://www.haifacin.co.il/Event/14255/,https://m.media-amazon.com/images/M/MV5BYTJhYTUzZTYtMTVhZS00MmZjLWI0MjUtZDk5YTJlYWFjYzdjXkEyXkFqcGc@._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,09/10/2024,20:15,Tatami,https://www.haifacin.co.il/Event/14256/,https://m.media-amazon.com/images/M/MV5BMjNiNmEzOTItMGMxYS00NGY1LTliNDEtZGVhMGI5NzU2NjQ3XkEyXkFqcGc@._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,10/10/2024,18:00,27 Dresses,https://www.haifacin.co.il/Event/14247/,https://m.media-amazon.com/images/M/MV5BZjgwODVmMjItMTk4Mi00ZTUxLWE5OTgtYzUxMDJmODBhNmYxXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_SX300.jpg,2008.0,yes
Haifa Cinemateque,10/10/2024,20:30,Fallen Leaves,https://www.haifacin.co.il/Event/14257/,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,27/10/2024,19:00,It Ends with Us,https://www.haifacin.co.il/Event/14260/,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Haifa Cinemateque,28/10/2024,18:30,The Cup,https://www.haifacin.co.il/Event/14263/,https://m.media-amazon.com/images/M/MV5BMTI1NjUxODc3OV5BMl5BanBnXkFtZTcwODU2MDU1MQ@@._V1_SX300.jpg,1999.0,yes
Haifa Cinemateque,28/10/2024,20:30,The Monk and the Gun,https://www.haifacin.co.il/Event/14258/,https://m.media-amazon.com/images/M/MV5BZTNmNDIyOTQtMjkxMy00MzEwLWExODktODZiN2RkNTYzNWQxXkEyXkFqcGdeQXVyNzMzOTQ0ODM@._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,29/10/2024,18:15,"BONNARD, PIERRE AND MARTHE",https://www.haifacin.co.il/Event/14262/,,2023.0,no
Haifa Cinemateque,29/10/2024,20:30,Waiting for Dali,https://www.haifacin.co.il/Event/14264/,https://m.media-amazon.com/images/M/MV5BMWVlODY5OWUtMGM3NC00MjlhLThmYmQtYWMwMjE3NWU3MzI2XkEyXkFqcGdeQXVyMTA5MzE2OTE1._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,30/10/2024,18:30,Exhibition On Screen: Pissarro: Father of Impressionism,https://www.haifacin.co.il/Event/14249/,https://m.media-amazon.com/images/M/MV5BM2QxNWMyYjYtMjIwZS00NjliLTk2NWUtNmZhN2RlMGU4NmQ3XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,2022.0,yes
Haifa Cinemateque,30/10/2024,20:30,It Ends with Us,https://www.haifacin.co.il/Event/14261/,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Haifa Cinemateque,31/10/2024,18:15,Waiting for Dali,https://www.haifacin.co.il/Event/14265/,https://m.media-amazon.com/images/M/MV5BMWVlODY5OWUtMGM3NC00MjlhLThmYmQtYWMwMjE3NWU3MzI2XkEyXkFqcGdeQXVyMTA5MzE2OTE1._V1_SX300.jpg,2023.0,yes
Haifa Cinemateque,31/10/2024,20:30,Beetlejuice Beetlejuice,https://www.haifacin.co.il/Event/14250/,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Herziliya Cinemateque,08/10/2024,11:00,Sex,https://www.hcinema.org.il/event/%d7%9e%d7%99%d7%9f-%d7%90%d7%a0%d7%95%d7%a9%d7%99-sex-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2024-10-08/1/,,,no
Herziliya Cinemateque,08/10/2024,11:30,Bonnard: Pierre et Marthe,https://www.hcinema.org.il/event/%d7%a4%d7%99%d7%99%d7%a8-%d7%95%d7%9e%d7%90%d7%a8%d7%aa-%d7%90%d7%95%d7%9e%d7%a0%d7%95%d7%aa-%d7%95%d7%90%d7%94%d7%91%d7%94-bonnard-pierre-et-marthe-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1-3/2024-10-08/1/,,,no
