cinema,date,time,title,href,poster,year,valid
Coming Soon,2024-09-25,,Super Wings the Movie: Maximum Speed,,https://m.media-amazon.com/images/M/MV5BODIwMzFkZjUtZjYxZC00NjRhLWJmNjItNDQ2NjhlN2JhN2E3XkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_SX300.jpg,2023,yes
Coming Soon,2024-09-26,,The Wild Robot,,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-09-26,,The Second Act,,https://m.media-amazon.com/images/M/MV5BYjc5N2NkZTktZWE0OC00YjY3LTg0OGItNzNjNzRlZGViMmFjXkEyXkFqcGdeQXVyMTQ5NjQ4OTE2._V1_SX300.jpg,2024,yes
Coming Soon,2024-09-26,,How To Survive Without Mom,,,,no
Coming Soon,2024-09-26,,Megalopolis,,https://m.media-amazon.com/images/M/MV5BMzdiOGZkN2EtMTlmMy00MTBiLThiMjUtMjNiZDQyYTc4ODg0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-09-26,,Bonnard: Pierre & Marthe,,,,no
Coming Soon,2024-09-26,,Nefarious,,https://m.media-amazon.com/images/M/MV5BNmY4NTlkNTEtNDBjMS00ZTJiLWFlZDMtNWY0MWFlZmNjMTFlXkEyXkFqcGdeQXVyMzQxODQzMTE@._V1_SX300.jpg,2023,yes
Coming Soon,2024-09-26,,Come Closer,,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-09-27,,Good Guys 2,,,,no
Coming Soon,2024-09-29,,The Pulp Fiction,,N/A,2023,no
Coming Soon,2024-09-30,,The Man Who Saved the Internet with a Sunflower,,https://m.media-amazon.com/images/M/MV5BYWZhMDlkYjAtYjRiZS00ZjYyLWI4NzctODcwNzA2MTEwNWE4XkEyXkFqcGdeQXVyMTc2NDMyNTYy._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-03,,The Tasting,,https://m.media-amazon.com/images/M/MV5BODQxZDZlMDMtODdhZS00MzgwLWI2ODMtNjI4NGFmMzVmZjEzXkEyXkFqcGdeQXVyNDg4MDI2NzU@._V1_SX300.jpg,2022,yes
Coming Soon,2024-10-03,,My Old Ass,,https://m.media-amazon.com/images/M/MV5BNDhiYjE1ZTAtMjM2My00OGZhLWE4MGMtMDI1YzRiYWYzMTdkXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-03,,Joker: Folie à Deux,,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-03,,Womanof The Hour,,,,no
Coming Soon,2024-10-03,,Sex,,,,no
Coming Soon,2024-10-03,,Woman of the Hour,,https://m.media-amazon.com/images/M/MV5BM2Q5OTExZDQtNDI2Ny00ZTYxLTllMzgtMmFlZTU2ZmMxMzNiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes
Coming Soon,2024-10-07,,Big Hero 6,,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,2014,yes
Coming Soon,2024-10-09,,The Master and Margarita,,https://m.media-amazon.com/images/M/MV5BYmRmZDE1NmItZWZhZi00MTczLTllZDAtMDczNjAwNjI3MjQwXkEyXkFqcGc@._V1_SX300.jpg,2023,yes
Coming Soon,2024-10-09,,Combat Wombat: Back 2 Back,,https://m.media-amazon.com/images/M/MV5BMzVjYjE2YzYtZmRiNS00Njk1LThkOTEtY2M2NDVmNTQxOTQyXkEyXkFqcGdeQXVyOTYwODIxOTk@._V1_SX300.jpg,2023,yes
Coming Soon,2024-10-09,,Petites mains,,https://m.media-amazon.com/images/M/MV5BOGRiNjdlMjYtZTUzYS00MzhkLTkxYTctNjg4MGIzN2RkMDYyXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-10,,1 Million Followers,,N/A,2025,no
Coming Soon,2024-10-10,,Hellboy: The Crooked Man,,https://m.media-amazon.com/images/M/MV5BYzdhZTRjNDQtZTA0NS00NWJmLTk5YzYtM2Q2Y2E2MTA2MzMyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-10,,The Silent Hour,,https://m.media-amazon.com/images/M/MV5BOWE5NDg3NTYtZWEyNS00YjBlLTljZDYtOTVkN2Q4MDZjYWIyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-14,,Marguerite's Theorem,,https://m.media-amazon.com/images/M/MV5BYjY0MjU5NTMtMTRjNC00OTUyLTljYzEtODljZTY4OTZlNTEzXkEyXkFqcGdeQXVyMDA5MDg4Nw@@._V1_SX300.jpg,2023,yes
Coming Soon,2024-10-17,,Smile,,https://m.media-amazon.com/images/M/MV5BZjE2ZWIwMWEtNGFlMy00ZjYzLWEzOWEtYzQ0MDAwZDRhYzNjXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2022,yes
Coming Soon,2024-10-17,,Luny Tunes,,,,no
Coming Soon,2024-10-17,,Zak & Wowo: The Legend Of Lenders,,,,no
Coming Soon,2024-10-17,,Elli & Her Monster Team,,,,no
Coming Soon,2024-10-17,,We Live On Time,,,,no
Coming Soon,2024-10-17,,Elli and the Ghostly Ghost Train,,https://m.media-amazon.com/images/M/MV5BYmQ5YzBkMzAtYmYwMy00NDEwLWFiYjItMjVlMTdkZDM0ODhiXkEyXkFqcGdeQXVyMTEwMjIwMjU4._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-17,,Panda Bear in Africa,,https://m.media-amazon.com/images/M/MV5BZDUzYTQ5MWEtMjNkMi00OGZlLWJkYzktN2IwOTIxZmVlNTA2XkEyXkFqcGdeQXVyMTYyMTc3Mjcy._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-17,,My hero academia: You`re next,,,,no
Coming Soon,2024-10-17,,The Tiger's Apprentice,,https://m.media-amazon.com/images/M/MV5BOGFkNTQxZTctMjQ5YS00NWIzLTk5NGQtZDgyZTY5MDA1NWMzXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-17,,Good Boys 2,,,,no
Coming Soon,2024-10-17,,We Live in Time,,https://m.media-amazon.com/images/M/MV5BMGJkNjAxNTUtMGU5MC00ZTUyLTlmYzctNmE0ZDUzZTk5YTY1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-17,,The Day the Earth Blew Up: A Looney Tunes Movie,,https://m.media-amazon.com/images/M/MV5BN2Q2MDQ4MWYtMzk0My00NWFkLTlkZmEtNDgwNThhYjAzODg4XkEyXkFqcGdeQXVyMTE2NDA4MDMy._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-17,,ZAK & WOWO: THE LEGEND OF LENDERS,,,,no
Coming Soon,2024-10-17,,Smile 2,,https://m.media-amazon.com/images/M/MV5BYTg5OTMyMGMtYzMwNC00NDMyLWE0OGUtMTQ1ODcwM2FjOTM4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-20,,Attention Please,,https://m.media-amazon.com/images/M/MV5BZWNhMzk1MmMtMjkxMi00ZWY3LThiZGMtNTY3YWVjZjI4NWI3XkEyXkFqcGdeQXVyNjM4MDkzMTk@._V1_SX300.jpg,2021,yes
Coming Soon,2024-10-24,,Transformers One,,https://m.media-amazon.com/images/M/MV5BZWI1ZDY1YTQtMjRkNy00ZDZhLWE3OTItMTIwNzliY2Y1MTZhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-24,,Venom: The Last Dance,,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-24,,Black Tea,,https://m.media-amazon.com/images/M/MV5BNzU0MWIyODQtZmFmYS00NGRiLTgyMTctYjIxMmVmZDI4ZThmXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-24,,Weekend in Taipei,,https://m.media-amazon.com/images/M/MV5BY2JiNDJiN2EtNGRlNC00ODE2LTgwNmQtOGFiZTk0NjZlMmFhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-10-24,,Tears For Fears Live (A Tipping Point Film),,N/A,2023,no
Coming Soon,2024-10-24,,This Is My Mother,,https://m.media-amazon.com/images/M/MV5BOTQwNWEyMGUtOTIyNC00MDcxLTgzOWEtNjFhZGE0YTM2YTg2XkEyXkFqcGdeQXVyNTAyNDQzNjI@._V1_SX300.jpg,2023,yes
Coming Soon,2024-10-24,,Venom: The Last Dan,,,,no
Coming Soon,2024-10-29,,Letter from Masanjia,,https://m.media-amazon.com/images/M/MV5BODYwYTNmNzMtOGRhNC00YzQ0LTlkMWUtOWQwNzlhZDJkOTZjXkEyXkFqcGdeQXVyNTEwMjcwNjY@._V1_SX300.jpg,2018,yes
Coming Soon,2024-10-31,,"Love, Classified",,https://m.media-amazon.com/images/M/MV5BNDM0NjAzNzEtMDhjMy00OTVkLWI4NDktZGFlZmRkMjRmMGQwXkEyXkFqcGdeQXVyNTI0MTI0OTY@._V1_SX300.jpg,2022,yes
Coming Soon,2024-10-31,,Three Thousand Years of Longing,,https://m.media-amazon.com/images/M/MV5BODFjMmVmN2YtOTc5Yy00YWM0LTg0N2ItZDJiNTU5MWMyMDVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2022,yes
Coming Soon,2024-10-31,,Under Therapy,,https://m.media-amazon.com/images/M/MV5BNTViNDY4NzQtYjVmOC00OWRiLWI1ZmMtYmMzMjQyMmUzNWUxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,2023,yes
Coming Soon,2024-11-07,,Memory,,https://m.media-amazon.com/images/M/MV5BOGI5N2FhNzktZjZlNi00MmRjLWE1MmUtNjRlNzQyOGMzYjNhXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,2022,yes
Coming Soon,2024-11-14,,The Vanishing Soldier,,https://m.media-amazon.com/images/M/MV5BNGQ1YzFiYWUtNjIwMC00MzdkLThmMjctZDhkYmExODAzMTNmXkEyXkFqcGdeQXVyMTIxMTAzNzU4._V1_SX300.jpg,2023,yes
Coming Soon,2024-11-14,,The Braid,,https://m.media-amazon.com/images/M/MV5BOTM2NjBjM2ItNjdmZi00MTljLTliZjctNzE4ZGM5NTIwODc1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,2023,yes
Coming Soon,2024-11-14,,Gladiator II,,https://m.media-amazon.com/images/M/MV5BODVlNzZmOWUtNTNhNC00YzczLTg5NzAtOThlZjViZDkwYTIzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-11-14,,One Piece Film: Red,,https://m.media-amazon.com/images/M/MV5BNTdjY2YxYTQtNjIzYy00ZDczLThhNTUtNmY2ZWNkZjZiMTYzXkEyXkFqcGc@._V1_SX300.jpg,2022,yes
Coming Soon,2024-11-21,,Wicked: Part 1,,,,no
Coming Soon,2024-11-28,,Moana 2,,https://m.media-amazon.com/images/M/MV5BZTU3YzdlNjQtY2ExOS00YjMyLTg2OWEtMzcwYmU0NWQzMmU1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-12-12,,The Lord of the Rings: The War of the Rohirrim,,https://m.media-amazon.com/images/M/MV5BYjI1NTMzNjgtYjFmOS00YzFjLTg3MTEtMDgxZTcwZTE2NDM2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,2024,yes
Coming Soon,2024-12-12,,Anora,,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2024-12-12,,Night of the Hunted,,https://m.media-amazon.com/images/M/MV5BM2RlN2FjMjQtNmEwOS00OTRiLWEyNTEtMTlkYzQ2ZTFjNWVkXkEyXkFqcGdeQXVyMzQyMDgzOTU@._V1_SX300.jpg,2023,yes
Coming Soon,2024-12-12,,Kraven the Hunter,,https://m.media-amazon.com/images/M/MV5BZWNhOWY4OTUtNDIwZC00ZTMzLTgzNDgtZGU5OWM0ODcwYmVlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2024,yes
Coming Soon,2024-12-12,,Arugam Bay,,https://m.media-amazon.com/images/M/MV5BYmM5YmJhYzktZDVjZC00MjFlLTg0MjYtN2ZmMDBjMGY1YjRkXkEyXkFqcGdeQXVyMTA2NDQ0NjA@._V1_SX300.jpg,2023,yes
Coming Soon,2024-12-12,,State Property: Blood on the Streets,,https://m.media-amazon.com/images/M/MV5BMTQ5NjIzNDgyN15BMl5BanBnXkFtZTcwMTUxNzgyMQ@@._V1_SX300.jpg,2005,yes
Coming Soon,2024-12-19,,Mufasa: The Lion King,,https://m.media-amazon.com/images/M/MV5BM2IxZTc4YjctM2RhZS00YTEyLThhMzItNTJmNTdhYzQ1Mjc4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg,2024,yes
Coming Soon,2024-12-26,,The Lord of the Rings: The Fellowship of the Ring,,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2001,yes
Coming Soon,2025-01-02,,A Real Pain,,https://m.media-amazon.com/images/M/MV5BYzdmOWViZTAtZGU4MS00NWEzLWExOGUtNGU5ZjIzMmFiM2NhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Coming Soon,2025-01-23,,Flight/Risk,,https://m.media-amazon.com/images/M/MV5BNGZmMDg4OTAtZTYzZi00YjBhLWE4M2ItMDYwMDk2MGY4NTcyXkEyXkFqcGc@._V1_SX300.jpg,2022,yes
Coming Soon,2025-02-13,,Captain America: Brave New World,,https://m.media-amazon.com/images/M/MV5BZTk2NTUxZDItN2Y1Ni00MDFjLTg4OWItMWY3M2Q2OGNiODUwXkEyXkFqcGc@._V1_SX300.jpg,2025,yes
Coming Soon,2025-03-20,,Snow White and the Huntsman,,https://m.media-amazon.com/images/M/MV5BOGQ5MWNjZGQtOWM2ZC00MjEyLWEwODAtN2JmN2U0OWQ0YzI3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,2012,yes
