cinema,title,href
Lev Cinema,A World Apart,https://www.lev.co.il/en/movies/%d7%a2%d7%95%d7%9c%d7%9d-%d7%9e%d7%a4%d7%a8%d7%99%d7%93-%d7%91%d7%99%d7%a0%d7%99%d7%a0%d7%95/
Cinema City,A World Apart,https://www.cinema-city.co.il/movie/5248
Yes Planet,Adios Buenos Aires,https://planetcinema.co.il/films/adios-buenos-aires/6689s2r?lang=en_gb
Lev Cinema,Adios Buenos Aires,https://www.lev.co.il/en/movies/%d7%90%d7%93%d7%99%d7%95%d7%a1-%d7%91%d7%95%d7%90%d7%a0%d7%95%d7%a1-%d7%90%d7%99%d7%99%d7%a8%d7%a1/
Cinema City,Adios Buenos Aires,https://www.cinema-city.co.il/movie/5238
Yes Planet,Alien: Romulus,https://planetcinema.co.il/films/alien-romulus/6491s2r?lang=en_gb
Yes Planet,Autumn and the Black Jaguar,https://planetcinema.co.il/films/autumn-and-the-black-jaguar/6247s2r?lang=en_gb
Cinema City,Bad Boys: Ride or Die,https://www.cinema-city.co.il/movie/5100
Yes Planet,Bad Boys: Ride or Die,https://planetcinema.co.il/films/bad-boys-ride-or-die/6489s2r?lang=en_gb
Cinema City,Bad Genius,https://www.cinema-city.co.il/movie/5249
Yes Planet,Bad Genius,https://planetcinema.co.il/films/bad-genius/6719s2r?lang=en_gb
Cinema City,Beetlejuice Beetlejuice,https://www.cinema-city.co.il/movie/5147
Yes Planet,Beetlejuice Beetlejuice,https://planetcinema.co.il/films/beetlejuice-beetlejuice/6611s2r?lang=en_gb
Cinema City,Blink Twice,https://www.cinema-city.co.il/movie/5152
Yes Planet,Blink Twice,https://planetcinema.co.il/films/blink-twice/6521s2r?lang=en_gb
Yes Planet,Bonnard: Pierre & Marthe,https://planetcinema.co.il/films/bonnard-pierre-marthe/6264s2r?lang=en_gb
Yes Planet,Borderlands,https://planetcinema.co.il/films/borderlands/6439s2r?lang=en_gb
Yes Planet,Breathe,https://planetcinema.co.il/films/breathe/24681s2r?lang=en_gb
Yes Planet,Cash Out,https://planetcinema.co.il/films/cash-out/6682s2r?lang=en_gb
Cinema City,Cash Out,https://www.cinema-city.co.il/movie/5244
Yes Planet,Come Closer,https://planetcinema.co.il/films/come-closer/6722s2r?lang=en_gb
Cinema City,Come Closer,https://www.cinema-city.co.il/movie/5225
Lev Cinema,Come Closer,https://www.lev.co.il/en/movies/%d7%a7%d7%a8%d7%95%d7%91-%d7%90%d7%9c%d7%99/
Cinema City,Daddio,https://www.cinema-city.co.il/movie/5220
Yes Planet,Daddio,https://planetcinema.co.il/films/daddio/6655s2r?lang=en_gb
Yes Planet,Deadpool and Wolverine (2024),https://planetcinema.co.il/films/deadpool-and-wolverine/6393s2r?lang=en_gb
Cinema City,Despicable Me 4,https://www.cinema-city.co.il/movie/5090
Lev Cinema,Fallen Leaves,https://www.lev.co.il/en/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/
Yes Planet,Fish also drown,https://planetcinema.co.il/films/fish-also-drown/6736s2r?lang=en_gb
Yes Planet,Inside Out 2,https://planetcinema.co.il/films/inside-out-2/6204d2r?lang=en_gb
Cinema City,Inside Out 2,https://www.cinema-city.co.il/movie/4961
Yes Planet,It Ends with Us,https://planetcinema.co.il/films/it-ends-with-us/6626s2r?lang=en_gb
Cinema City,It Ends with Us,https://www.cinema-city.co.il/movie/5158
Cinema City,Joker: Folie à Deux,https://www.cinema-city.co.il/movie/5143
Yes Planet,Joker: Folie à Deux,https://planetcinema.co.il/films/joker-folie-a-deux/6499s2r?lang=en_gb
Cinema City,Les choses simples,https://www.cinema-city.co.il/movie/5129
Yes Planet,Longlegs,https://planetcinema.co.il/films/longlegs/6583s2r?lang=en_gb
Cinema City,Megalopolis,https://www.cinema-city.co.il/movie/5301
Lev Cinema,Megalopolis,https://www.lev.co.il/en/movies/%d7%9e%d7%92%d7%9c%d7%95%d7%a4%d7%95%d7%9c%d7%99%d7%a1/
Yes Planet,Megalopolis,https://planetcinema.co.il/films/megalopolis/6634s2r?lang=en_gb
Cinema City,Monster,https://www.cinema-city.co.il/movie/5250
Yes Planet,Monster,https://planetcinema.co.il/films/monster/6428s2r?lang=en_gb
Lev Cinema,Monster,https://www.lev.co.il/en/movies/%d7%aa%d7%9e%d7%99%d7%9e%d7%95%d7%aa/
Cinema City,My Old Ass,https://www.cinema-city.co.il/movie/5312
Lev Cinema,My Old Ass,https://www.lev.co.il/en/movies/%d7%94%d7%aa%d7%97%d7%aa-%d7%94%d7%96%d7%a7%d7%9f-%d7%a9%d7%9c%d7%99-%d7%98%d7%a8%d7%95%d7%9d-%d7%91%d7%9b%d7%95%d7%a8%d7%94/
Yes Planet,Nefarious,https://planetcinema.co.il/films/nefarious/6772s2r?lang=en_gb
Cinema City,Nefarious,https://www.cinema-city.co.il/movie/5285
Yes Planet,Never Let Go,https://planetcinema.co.il/films/never-let-go/6669s2r?lang=en_gb
