title,poster,year,valid,runtime
A World Apart,https://m.media-amazon.com/images/M/MV5BNTA2NGNlNGMtOGFmOC00ODk2LTgxMGMtMjMzMTI4YjIyZDliXkEyXkFqcGc@._V1_SX300.jpg,1988,yes,113
Adios Buenos Aires,https://m.media-amazon.com/images/M/MV5BMWU3YTU0OTAtYWRlNS00MjAyLThiOTYtNTYyMzQzOTE0YzViXkEyXkFqcGdeQXVyNTI1MzQyMzE@._V1_SX300.jpg,2023,yes,93
Autumn and the Black Jaguar,https://m.media-amazon.com/images/M/MV5BMDQyYWJhMGMtMzgwMy00OTk1LWI2NDgtMjk0M2RlNTEzNWY1XkEyXkFqcGdeQXVyMDA5MDg4Nw@@._V1_SX300.jpg,2024,yes,96
Bad Boys: Ride or Die,https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104
Blink Twice,https://m.media-amazon.com/images/M/MV5BMzczYmQ0NTUtMTM5OS00Mzc4LWExZDYtOWE4YjRkOWJkYWRlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,102
Bonnard: Pierre & Marthe,https://m.media-amazon.com/images/M/MV5BNzBhOTRjZWEtNjVmYy00MjZiLThlMzEtZjY3OTNhNTc5MWJlXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,122
Borderlands,https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2024,yes,102
Breathe,https://m.media-amazon.com/images/M/MV5BZmM4NGMyMjYtNmQwZC00YmU2LWExZDEtOWFhZWNhYjlmNzAxXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,2024,yes,93
Cash Out,https://m.media-amazon.com/images/M/MV5BZDQ5OGRiMWItOWI4ZC00NGViLWI2ZjctNTg3YzAwN2Y0NmM2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,92
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107
