title,poster,year,valid,runtime,avg_popularity
Adios Buenos Aires,https://m.media-amazon.com/images/M/MV5BMWU3YTU0OTAtYWRlNS00MjAyLThiOTYtNTYyMzQzOTE0YzViXkEyXkFqcGdeQXVyNTI1MzQyMzE@._V1_SX300.jpg,2023,yes,93,69.98
Bad Boys: Ride or Die,https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,34.98
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,72.14
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104,68.82
Blink Twice,https://m.media-amazon.com/images/M/MV5BMzczYmQ0NTUtMTM5OS00Mzc4LWExZDYtOWE4YjRkOWJkYWRlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,102,57.94
Bonnard: Pierre & Marthe,https://m.media-amazon.com/images/M/MV5BNzBhOTRjZWEtNjVmYy00MjZiLThlMzEtZjY3OTNhNTc5MWJlXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,122,82.98
Borderlands,https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2024,yes,102,42.55
Cash Out,https://m.media-amazon.com/images/M/MV5BZDQ5OGRiMWItOWI4ZC00NGViLWI2ZjctNTg3YzAwN2Y0NmM2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,92,57.41
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107,76.86
Daddio,https://m.media-amazon.com/images/M/MV5BNDg0Njk0ZjYtZGIyMy00MDkzLWI3MDYtNjUxMWQzMTkxNzIyXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,101,59.28
Deadpool and Wolverine,https://m.media-amazon.com/images/M/MV5BZTEyNTc3M2UtZWM2My00ZDU0LTliNzMtYWMyODhmYzIyMTU1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,127,34.04
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,5.56
Inside Out 2,https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,36.98
It Ends with Us,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130,58.45
Joker: Folie à Deux,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138,93.55
Megalopolis,https://m.media-amazon.com/images/M/MV5BOTQ2MTcwODgtOTg3Yi00M2RmLWEyMDQtY2IzZmRlYzM3YzhjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138,83.76
Monster,https://m.media-amazon.com/images/M/MV5BNDA3NTQ1YWItZDg4Ny00ZDYxLWJmZDYtODY4MTcwYWFlMDYwXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,2023,yes,126,58.34
My Old Ass,https://m.media-amazon.com/images/M/MV5BNDhiYjE1ZTAtMjM2My00OGZhLWE4MGMtMDI1YzRiYWYzMTdkXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,88,94.44
Nefarious,https://m.media-amazon.com/images/M/MV5BNmY4NTlkNTEtNDBjMS00ZTJiLWFlZDMtNWY0MWFlZmNjMTFlXkEyXkFqcGdeQXVyMzQxODQzMTE@._V1_SX300.jpg,2023,yes,97,86.08
Never Let Go,https://m.media-amazon.com/images/M/MV5BNTFlMzhhYTYtYzMzOC00ZTJiLTllMzAtMGUxOGU0MDVlY2M4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101,74.47
Sleeping Dogs,https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_SX300.jpg,2024,yes,110,75.98
Speak No Evil,https://m.media-amazon.com/images/M/MV5BNWRhMjcwYjMtZDg2ZC00YmI1LWIwM2MtOTBhNmQ4OWUwYjgxXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_SX300.jpg,2022,yes,110,68.16
Strange Darling,https://m.media-amazon.com/images/M/MV5BNDE2OTQ0NjEtNmEwMC00NmRjLThiOGMtN2M1N2Q2YWY0NGY4XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,96,61.26
Take a Chance on Me,https://m.media-amazon.com/images/M/MV5BNGMwYjc0NjgtOGM2Ny00ZGE5LThlN2ItMjU4NmFjMmY4YWYxXkEyXkFqcGdeQXVyMTYzMzQ3NzAy._V1_SX300.jpg,2023,yes,103,45.6
The Crow,https://m.media-amazon.com/images/M/MV5BMjEyOWJjMWQtZTY4Yi00ZjYyLWJhNDktZmRkNzEwMjlhZjQ3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111,48.94
The Engineer,https://m.media-amazon.com/images/M/MV5BZDFiMjNlNTUtOTE3ZS00ZjM2LTgxM2UtMzllYTgyMjJkOTY2XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,92,63.83
The Monk and the Gun,https://m.media-amazon.com/images/M/MV5BZTNmNDIyOTQtMjkxMy00MzEwLWExODktODZiN2RkNTYzNWQxXkEyXkFqcGdeQXVyNzMzOTQ0ODM@._V1_SX300.jpg,2023,yes,107,51.85
The Second Act,https://m.media-amazon.com/images/M/MV5BYjc5N2NkZTktZWE0OC00YjY3LTg0OGItNzNjNzRlZGViMmFjXkEyXkFqcGdeQXVyMTQ5NjQ4OTE2._V1_SX300.jpg,2024,yes,114,77.57
The Tasting,https://m.media-amazon.com/images/M/MV5BODQxZDZlMDMtODdhZS00MzgwLWI2ODMtNjI4NGFmMzVmZjEzXkEyXkFqcGdeQXVyNDg4MDI2NzU@._V1_SX300.jpg,2022,yes,92,89.91
