title,poster,year,valid,runtime,popularity
A World Apart,https://m.media-amazon.com/images/M/MV5BNTA2NGNlNGMtOGFmOC00ODk2LTgxMGMtMjMzMTI4YjIyZDliXkEyXkFqcGc@._V1_SX300.jpg,1988,yes,113,56.92
Adios Buenos Aires,https://m.media-amazon.com/images/M/MV5BMWU3YTU0OTAtYWRlNS00MjAyLThiOTYtNTYyMzQzOTE0YzViXkEyXkFqcGdeQXVyNTI1MzQyMzE@._V1_SX300.jpg,2023,yes,93,68.09
Alien: Romulus,https://m.media-amazon.com/images/M/MV5BMDU0NjcwOGQtNjNjOS00NzQ3LWIwM2YtYWVmODZjMzQzN2ExXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,120,46.67
Autumn and the Black Jaguar,https://m.media-amazon.com/images/M/MV5BYjk1ODU0MjMtN2ZiZC00ZDYxLTg1ZWItNzdhYzg2ZjM0MmRjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,40.0
Bad Boys: Ride or Die,https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,38.78
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,70.32
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104,67.76
Blink Twice,https://m.media-amazon.com/images/M/MV5BMzczYmQ0NTUtMTM5OS00Mzc4LWExZDYtOWE4YjRkOWJkYWRlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,102,58.14
Bonnard: Pierre & Marthe,https://m.media-amazon.com/images/M/MV5BNzBhOTRjZWEtNjVmYy00MjZiLThlMzEtZjY3OTNhNTc5MWJlXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,122,78.33
Borderlands,https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2024,yes,102,43.33
Cash Out,https://m.media-amazon.com/images/M/MV5BZDQ5OGRiMWItOWI4ZC00NGViLWI2ZjctNTg3YzAwN2Y0NmM2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,92,57.56
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107,74.09
Daddio,https://m.media-amazon.com/images/M/MV5BNDg0Njk0ZjYtZGIyMy00MDkzLWI3MDYtNjUxMWQzMTkxNzIyXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,101,58.33
Deadpool and Wolverine,https://m.media-amazon.com/images/M/MV5BZTEyNTc3M2UtZWM2My00ZDU0LTliNzMtYWMyODhmYzIyMTU1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,127,36.67
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,5.56
Foster's Home for Imaginary Friends,https://m.media-amazon.com/images/M/MV5BNjFjM2UzMWQtYTJlYS00YTU0LTk0ODYtMGIwNmI0ODYwYzIwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,Unknown,yes,104,28.33
Hellboy: The Crooked Man,https://m.media-amazon.com/images/M/MV5BOWNmZTQ0Y2UtNDJhZC00Y2MwLWFjOWQtM2ZmNjFmMTU5Mjg5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,99,91.8
Inside Out 2,https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,40.39
It Ends with Us,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130,57.88
Jigra,https://m.media-amazon.com/images/M/MV5BNmJhMTc5NDEtN2NkOC00Njc3LWJiMzgtZjhjZWNhZDhmZTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,153,55.38
Joker: Folie à Deux,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138,92.58
Les choses simples,https://m.media-amazon.com/images/M/MV5BN2I1NmNkNWYtMjU0ZC00ZWNiLTkxYjUtYzdmMmYzNzY2NTU0XkEyXkFqcGdeQXVyNTc5NjczOTE@._V1_SX300.jpg,2016,yes,95,47.69
