cinema,date,time,title,snif,type
Lev Cinema,09/10/2024,11:30,Adios Buenos Aires,Tel Aviv,Regular
Lev Cinema,09/10/2024,15:20,Adios Buenos Aires,Tel Aviv,Regular
Lev Cinema,09/10/2024,19:15,Adios Buenos Aires,Raanana,Regular
Cinema City,09/10/2024,19:50,Adios Buenos Aires,Rishon Letzion,Regular
Cinema City,09/10/2024,19:30,Adios Buenos Aires,Netanya,Regular
Yes Planet,09/10/2024,16:45,Adios Buenos Aires,Rishon Letzion,Regular
Yes Planet,09/10/2024,18:50,Adios Buenos Aires,Rishon Letzion,Regular
Yes Planet,09/10/2024,16:35,Adios Buenos Aires,Tel Aviv,Regular
Yes Planet,09/10/2024,14:20,Adios Buenos Aires,Beer Sheva,Regular
Yes Planet,09/10/2024,16:30,Adios Buenos Aires,Zichron Yaakov,Regular
Yes Planet,09/10/2024,18:45,Adios Buenos Aires,Zichron Yaakov,Regular
Yes Planet,09/10/2024,21:00,Adios Buenos Aires,Zichron Yaakov,Regular
Yes Planet,09/10/2024,22:00,Adios Buenos Aires,Haifa,Regular
Cinema City,09/10/2024,19:00,Bad Boys: Ride or Die,Ashdod,Regular
Yes Planet,09/10/2024,21:45,Bad Boys: Ride or Die,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:40,Bad Boys: Ride or Die,Tel Aviv,Regular
Yes Planet,09/10/2024,19:15,Bad Boys: Ride or Die,Beer Sheva,Regular
Yes Planet,09/10/2024,22:00,Bad Boys: Ride or Die,Haifa,Regular
Yes Planet,09/10/2024,14:10,Bad Genius,Rishon Letzion,Regular
Yes Planet,09/10/2024,22:00,Bad Genius,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:15,Bad Genius,Rishon Letzion,VIP
Yes Planet,09/10/2024,21:40,Bad Genius,Tel Aviv,Regular
Yes Planet,09/10/2024,22:20,Bad Genius,Beer Sheva,Regular
Yes Planet,09/10/2024,22:00,Bad Genius,Zichron Yaakov,Regular
Yes Planet,09/10/2024,20:00,Bad Genius,Haifa,Regular
Yes Planet,09/10/2024,22:00,Bad Genius,Haifa,Regular
Yes Planet,09/10/2024,19:00,Bad Genius,Jerusalem,Regular
Yes Planet,09/10/2024,21:30,Bad Genius,Jerusalem,Regular
Cinema City,09/10/2024,14:40,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,09/10/2024,17:15,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,09/10/2024,19:10,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,09/10/2024,16:00,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,09/10/2024,18:40,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,09/10/2024,21:15,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,09/10/2024,14:10,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,09/10/2024,16:40,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,09/10/2024,21:50,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,09/10/2024,14:10,Beetlejuice Beetlejuice,Kfar Saba,Prime
Cinema City,09/10/2024,19:20,Beetlejuice Beetlejuice,Kfar Saba,Prime
Cinema City,09/10/2024,18:00,Beetlejuice Beetlejuice,Netanya,Regular
Cinema City,09/10/2024,19:40,Beetlejuice Beetlejuice,Beer Sheva,Regular
Cinema City,09/10/2024,19:00,Beetlejuice Beetlejuice,Chadera,Regular
Cinema City,09/10/2024,14:00,Beetlejuice Beetlejuice,Ashdod,Regular
Cinema City,09/10/2024,16:40,Beetlejuice Beetlejuice,Ashdod,Regular
Cinema City,09/10/2024,19:15,Beetlejuice Beetlejuice,Ashdod,Regular
Yes Planet,09/10/2024,16:20,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Yes Planet,09/10/2024,19:10,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:40,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:45,Beetlejuice Beetlejuice,Rishon Letzion,VIP
Yes Planet,09/10/2024,14:00,Beetlejuice Beetlejuice,Tel Aviv,Regular
Yes Planet,09/10/2024,16:45,Beetlejuice Beetlejuice,Beer Sheva,Regular
Yes Planet,09/10/2024,14:20,Beetlejuice Beetlejuice,Zichron Yaakov,Regular
Yes Planet,09/10/2024,18:45,Beetlejuice Beetlejuice,Zichron Yaakov,Regular
Yes Planet,09/10/2024,21:00,Beetlejuice Beetlejuice,Zichron Yaakov,Regular
Yes Planet,09/10/2024,15:10,Beetlejuice Beetlejuice,Haifa,Regular
Yes Planet,09/10/2024,19:30,Beetlejuice Beetlejuice,Haifa,Regular
Yes Planet,09/10/2024,22:00,Beetlejuice Beetlejuice,Haifa,VIP
