cinema,date,time,title,href,poster,year,valid
Coming Soon,12/09/2024,,The Engineer,,https://m.media-amazon.com/images/M/MV5BZGNiNTdmZjYtYTkyMy00ZTQ2LWJiMzQtMTM5Y2NlMTJjZGEwXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,2023.0,yes
Coming Soon,12/09/2024,,School of magical animals: Part 2,,,,no
Coming Soon,12/09/2024,,The Teachers' Lounge,,https://m.media-amazon.com/images/M/MV5BYjc3MTM5MzktNTUwYi00ODRjLTliOTMtYWJiZTQ2NzhlZjJlXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_SX300.jpg,2023.0,yes
Coming Soon,12/09/2024,,Bad Genius,,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Coming Soon,12/09/2024,,Fish also drown,,https://m.media-amazon.com/images/M/MV5BZDYyODFmMGMtZGYyYS00ZWI1LWI5NmQtMTdlN2FkYmFhMzM4XkEyXkFqcGdeQXVyMTIyMzM4NDE5._V1_SX300.jpg,2020.0,yes
Coming Soon,12/09/2024,,School Of Magical Animals: Part 2,,,,no
Coming Soon,12/09/2024,,Speak No Evil,,https://m.media-amazon.com/images/M/MV5BNWRhMjcwYjMtZDg2ZC00YmI1LWIwM2MtOTBhNmQ4OWUwYjgxXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_SX300.jpg,2022.0,yes
Coming Soon,12/09/2024,,Sleeping Dogs,,https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_SX300.jpg,2024.0,yes
Coming Soon,12/09/2024,,School of Magical Animals 2,,https://m.media-amazon.com/images/M/MV5BODU4YmE2MDEtYzU1Yy00NzdjLWEwZmQtNjQ2NGIzZDRlN2VhXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_SX300.jpg,2022.0,yes
Coming Soon,12/09/2024,,יונתן ברק מגיע ל-hot Cinema,,,,no
Coming Soon,19/09/2024,,The Lord of the Rings: The Fellowship of the Ring,,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2001.0,yes
Coming Soon,19/09/2024,,The Lord of the Rings: The Two Towers,,https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2002.0,yes
Coming Soon,19/09/2024,,The Lord of the Rings: The Return of the King,,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,2003.0,yes
Coming Soon,19/09/2024,,Never Let Me Go,,https://m.media-amazon.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg,2010.0,yes
Coming Soon,19/09/2024,,Adios Buenos Aires,,https://m.media-amazon.com/images/M/MV5BMWU3YTU0OTAtYWRlNS00MjAyLThiOTYtNTYyMzQzOTE0YzViXkEyXkFqcGdeQXVyNTI1MzQyMzE@._V1_SX300.jpg,2023.0,yes
Coming Soon,19/09/2024,,How to Survive Without Mom,,,,no
Coming Soon,19/09/2024,,Come Closer,,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Coming Soon,25/09/2024,,Super Wings the Movie: Maximum Speed,,https://m.media-amazon.com/images/M/MV5BODIwMzFkZjUtZjYxZC00NjRhLWJmNjItNDQ2NjhlN2JhN2E3XkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_SX300.jpg,2023.0,yes
Coming Soon,26/09/2024,,Bonnard: Pierre & Marthe,,,,no
Coming Soon,26/09/2024,,The Wild Robot,,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Coming Soon,26/09/2024,,The Second Act,,https://m.media-amazon.com/images/M/MV5BYjc5N2NkZTktZWE0OC00YjY3LTg0OGItNzNjNzRlZGViMmFjXkEyXkFqcGdeQXVyMTQ5NjQ4OTE2._V1_SX300.jpg,2024.0,yes
Coming Soon,26/09/2024,,How To Survive Without Mom,,,,no
Coming Soon,03/10/2024,,Joker: Folie à Deux,,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
Coming Soon,03/10/2024,,My Old Ass,,https://m.media-amazon.com/images/M/MV5BNDhiYjE1ZTAtMjM2My00OGZhLWE4MGMtMDI1YzRiYWYzMTdkXkEyXkFqcGc@._V1_SX300.jpg,2024.0,yes
