cinema,date,time,title
Haifa Cinemateque,13/08/2024,19:00,THE 1957 TRANSCRIPTS
Haifa Cinemateque,14/08/2024,18:00,MONSTER
Haifa Cinemateque,14/08/2024,20:30,A WORLD APART
Haifa Cinemateque,15/08/2024,18:00,HEMDA
Haifa Cinemateque,15/08/2024,20:15,GRAN TORINO
Haifa Cinemateque,16/08/2024,16:15,NASHVILLE
Haifa Cinemateque,17/08/2024,11:30,ON THE WANDERING PATH
Haifa Cinemateque,17/08/2024,16:30,HIT MAN
Haifa Cinemateque,17/08/2024,19:00,AFTER THE STORM
Haifa Cinemateque,18/08/2024,18:30,VAN GOGH & JAPAN
Haifa Cinemateque,18/08/2024,20:15,HIT MAN
Haifa Cinemateque,19/08/2024,18:30,BEFORE SUNRISE
Haifa Cinemateque,19/08/2024,20:30,BEFORE SUNSET
Haifa Cinemateque,20/08/2024,19:00,THE CHILDREN OF SAN SIMON
Haifa Cinemateque,21/08/2024,18:30,BEFORE MIDNIGHT
Haifa Cinemateque,21/08/2024,20:30,SHOPLIFTERS
Haifa Cinemateque,22/08/2024,18:15,MODERN FATHER'S DIARY
Haifa Cinemateque,22/08/2024,20:15,BROKER
Haifa Cinemateque,23/08/2024,16:30,BOYHOOD
Haifa Cinemateque,23/08/2024,19:30,THE PLAYER
Haifa Cinemateque,24/08/2024,11:30,PETITES MAINS
Haifa Cinemateque,24/08/2024,16:30,THE BEEKEEPER
Haifa Cinemateque,24/08/2024,19:00,OUR LITTLE SISTER
Haifa Cinemateque,26/08/2024,18:15,OF PARENTS AND CHILDREN
Haifa Cinemateque,26/08/2024,20:30,PETITES MAINS
Haifa Cinemateque,27/08/2024,19:00,DEAL WITH THE DEVIL
Haifa Cinemateque,28/08/2024,19:00,WE HAVE NEVER BEEN MODERN
Haifa Cinemateque,29/08/2024,18:30,THE GOOD SOLDIER SCHWEIK
Haifa Cinemateque,29/08/2024,20:30,I DUTIFULLY REPORT
Haifa Cinemateque,30/08/2024,16:30,GOSFORD PARK
Haifa Cinemateque,30/08/2024,19:00,THE EAR
Haifa Cinemateque,31/08/2024,11:30,THE BABY
Haifa Cinemateque,31/08/2024,16:45,TREASURE
Haifa Cinemateque,31/08/2024,19:00,LATE QUARTET
