cinema,date,time,title
Herziliya Cinemateque,09/08/2024,11:30,Harold and the Purple Crayon
Herziliya Cinemateque,09/08/2024,13:30,Harold and the Purple Crayon
Herziliya Cinemateque,09/08/2024,14:00,Inside Out 2
Herziliya Cinemateque,09/08/2024,16:00,Ozi: The Voice of the Forest
Herziliya Cinemateque,09/08/2024,16:15,Harold and the Purple Crayon
Herziliya Cinemateque,09/08/2024,16:30,10 Lives
Herziliya Cinemateque,09/08/2024,18:15,Thelma
Herziliya Cinemateque,09/08/2024,18:45,Last Summer
Herziliya Cinemateque,09/08/2024,21:00,Take This Waltz
Herziliya Cinemateque,09/08/2024,21:30,Thelma
Herziliya Cinemateque,10/08/2024,11:00,Ozi: The Voice of the Forest
Herziliya Cinemateque,10/08/2024,11:30,10 Lives
Herziliya Cinemateque,10/08/2024,12:00,Harold and the Purple Crayon
Herziliya Cinemateque,10/08/2024,14:00,Ajooma
Herziliya Cinemateque,10/08/2024,14:30,IF: Imaginary Friends
Herziliya Cinemateque,10/08/2024,15:00,Thelma
Herziliya Cinemateque,10/08/2024,17:00,Come Closer
Herziliya Cinemateque,10/08/2024,17:30,Harold and the Purple Crayon
Herziliya Cinemateque,10/08/2024,18:00,Thelma
Herziliya Cinemateque,10/08/2024,20:00,Inside Out 2
Herziliya Cinemateque,10/08/2024,20:30,Despicable Me 4
Herziliya Cinemateque,11/08/2024,11:00,Despicable Me 4
Herziliya Cinemateque,11/08/2024,11:30,Harold and the Purple Crayon
Herziliya Cinemateque,11/08/2024,12:00,Ozi: The Voice of the Forest
Herziliya Cinemateque,11/08/2024,14:00,Despicable Me 4
Herziliya Cinemateque,11/08/2024,14:30,Harold and the Purple Crayon
Herziliya Cinemateque,11/08/2024,15:00,Inside Out 2
Herziliya Cinemateque,11/08/2024,17:00,10 Lives
Herziliya Cinemateque,11/08/2024,17:30,Harold and the Purple Crayon
Herziliya Cinemateque,11/08/2024,20:00,The Inner Truth
Herziliya Cinemateque,11/08/2024,20:30,The Crime is Mine
Herziliya Cinemateque,12/08/2024,11:00,Harold and the Purple Crayon
Herziliya Cinemateque,12/08/2024,11:30,Despicable Me 4
Herziliya Cinemateque,12/08/2024,12:00,Ozi: The Voice of the Forest
Herziliya Cinemateque,12/08/2024,14:00,Harold and the Purple Crayon
Herziliya Cinemateque,12/08/2024,14:30,Inside Out 2
Herziliya Cinemateque,12/08/2024,17:00,Harold and the Purple Crayon
Herziliya Cinemateque,13/08/2024,11:00,Thelma
Herziliya Cinemateque,13/08/2024,11:30,Harold and the Purple Crayon
Herziliya Cinemateque,13/08/2024,12:00,Ajooma
Herziliya Cinemateque,13/08/2024,14:00,Ajooma
Herziliya Cinemateque,13/08/2024,14:30,A Great Friend
Herziliya Cinemateque,13/08/2024,16:00,Reality
Herziliya Cinemateque,13/08/2024,16:15,Harold and the Purple Crayon
Herziliya Cinemateque,13/08/2024,16:30,Ajooma
Herziliya Cinemateque,13/08/2024,18:00,Thelma
Herziliya Cinemateque,13/08/2024,18:30,Last Summer
Herziliya Cinemateque,13/08/2024,20:30,Eternal Sunshine of the Spotless Mind
Herziliya Cinemateque,14/08/2024,11:30,Harold and the Purple Crayon
Herziliya Cinemateque,14/08/2024,14:00,Ozi: The Voice of the Forest
Herziliya Cinemateque,14/08/2024,14:30,Inside Out 2
Herziliya Cinemateque,14/08/2024,15:00,Harold and the Purple Crayon
Herziliya Cinemateque,14/08/2024,17:00,10 Lives
Herziliya Cinemateque,14/08/2024,17:30,Harold and the Purple Crayon
Herziliya Cinemateque,14/08/2024,18:00,Inside Out 2
Herziliya Cinemateque,14/08/2024,20:00,Thelma
Herziliya Cinemateque,14/08/2024,20:30,It Happened on our Ground
Herziliya Cinemateque,15/08/2024,20:30,Beaches
Herziliya Cinemateque,16/08/2024,21:00,Anyone but You
Herziliya Cinemateque,17/08/2024,17:00,Mater and Margarita
Herziliya Cinemateque,18/08/2024,20:30,Reality Bites
Herziliya Cinemateque,19/08/2024,20:30,Anyone but You
Herziliya Cinemateque,20/08/2024,18:00,A World Apart
Herziliya Cinemateque,20/08/2024,20:30,Amazing Grace
Herziliya Cinemateque,21/08/2024,20:30,Interstellar
Herziliya Cinemateque,22/08/2024,20:30,Monogamy
Herziliya Cinemateque,23/08/2024,21:00,Modern Father’s Diary
Herziliya Cinemateque,24/08/2024,17:00,Of Parents and Children
Herziliya Cinemateque,24/08/2024,20:30,The Ear
Herziliya Cinemateque,26/08/2024,16:00,Star Wars: A New Hope
Herziliya Cinemateque,26/08/2024,19:00,Star Wars: The Empire Strikes Back
Herziliya Cinemateque,26/08/2024,22:00,Star Wars: Return of the Jedi
Herziliya Cinemateque,27/08/2024,18:00,The Good Soldier Schweik
Herziliya Cinemateque,27/08/2024,20:30,Bagdad Café
Herziliya Cinemateque,28/08/2024,20:30,Local Hero
Herziliya Cinemateque,29/08/2024,20:30,4 Adventures Of Reinette & Mirabelle
Herziliya Cinemateque,30/08/2024,21:00,We Have Never Been Modern
Herziliya Cinemateque,31/08/2024,17:00,Highway 65
Herziliya Cinemateque,31/08/2024,20:30,I Dutifully Report
