cinema,date,time,title,href,poster,year,valid
Herziliya Cinemateque,19/08/2024,11:00,Despicable Me 4,https://www.hcinema.org.il/event/%d7%92%d7%a0%d7%95%d7%91-%d7%a2%d7%9c-%d7%94%d7%97%d7%99%d7%99%d7%9d-despicable-me-4-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1/2024-08-19/,https://m.media-amazon.com/images/M/MV5BOTk4MjFhZTMtOWIxOS00YzE2LThkZGEtMzg0MDAyMmFiZmU1XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,19/08/2024,14:00,Harold and the Purple Crayon,https://www.hcinema.org.il/event/%d7%a2%d7%99%d7%a4%d7%a8%d7%95%d7%9f-%d7%94%d7%a7%d7%a1%d7%9d-harold-and-the-purple-crayon-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e/2024-08-19/,https://m.media-amazon.com/images/M/MV5BZGE3MmYxOTgtMGY1Ni00ZWQ4LTlhNjAtMzcxYjIzMjcwN2U1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,19/08/2024,17:00,IF: Imaginary Friends,https://www.hcinema.org.il/event/%d7%97%d7%91%d7%a8%d7%99%d7%9d-%d7%93%d7%9e%d7%99%d7%95%d7%a0%d7%99%d7%99%d7%9d-if-imaginary-friends-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94/2024-08-19/,,,no
Herziliya Cinemateque,19/08/2024,17:30,10 Lives,https://www.hcinema.org.il/event/%d7%94%d7%97%d7%aa%d7%95%d7%9c-%d7%91%d7%a2%d7%9c-10-%d7%94%d7%a0%d7%a9%d7%9e%d7%95%d7%aa-10-lives-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e/2024-08-19/,https://m.media-amazon.com/images/M/MV5BZDc3NDQzNzktOTk0OC00MWY1LWFjNGQtZDg0M2ZkNTc0YmM2XkEyXkFqcGdeQXVyMjEyMzc1Njg@._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,19/08/2024,18:00,Inside Out 2,https://www.hcinema.org.il/event/%d7%94%d7%a7%d7%95%d7%9c-%d7%91%d7%a8%d7%90%d7%a9-2-inside-out-2-%d7%90%d7%a0%d7%92%d7%9c%d7%99%d7%aa-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa/2024-08-19/,https://m.media-amazon.com/images/M/MV5BYTc1MDQ3NjAtOWEzMi00YzE1LWI2OWUtNjQ0OWJkMzI3MDhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,19/08/2024,20:30,Anyone But You,https://www.hcinema.org.il/event/%d7%a8%d7%a7-%d7%9c%d7%90-%d7%90%d7%aa%d7%94-anyone-but-you-%d7%a1%d7%a8%d7%98-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%99%d7%94/2024-08-19/,https://m.media-amazon.com/images/M/MV5BOTVhZGU2OWQtNDM1Ni00MzM3LTgzYjgtOTEwYzQzOWZjNTIyXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_SX300.jpg,2023,yes
Herziliya Cinemateque,20/08/2024,11:00,Ajooma,https://www.hcinema.org.il/event/%d7%90%d7%92%d7%95%d7%9e%d7%94-ajooma-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2024-08-20/1/,,,no
Herziliya Cinemateque,20/08/2024,11:30,Harold and the Purple Crayon,https://www.hcinema.org.il/event/%d7%a2%d7%99%d7%a4%d7%a8%d7%95%d7%9f-%d7%94%d7%a7%d7%a1%d7%9d-harold-and-the-purple-crayon-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e-2/2024-08-20/,https://m.media-amazon.com/images/M/MV5BZGE3MmYxOTgtMGY1Ni00ZWQ4LTlhNjAtMzcxYjIzMjcwN2U1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,20/08/2024,14:00,A World Apart,https://www.hcinema.org.il/event/%d7%a2%d7%95%d7%9c%d7%9d-%d7%9e%d7%a4%d7%a8%d7%99%d7%93-%d7%91%d7%99%d7%a0%d7%99%d7%a0%d7%95-a-world-apart-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99/2024-08-20/1/,https://m.media-amazon.com/images/M/MV5BZjc3ZWRiOWQtM2U3MS00ZGZjLWEzMGYtMjE2N2U2M2MwYTVlXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,1988,yes
Herziliya Cinemateque,20/08/2024,14:30,I Know What You Did Last Summer,https://www.hcinema.org.il/event/%d7%94%d7%a7%d7%99%d7%a5-%d7%94%d7%90%d7%97%d7%a8%d7%95%d7%9f-last-summer-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2024-08-20/,https://m.media-amazon.com/images/M/MV5BY2JlY2JlYTYtNmI3NC00YTk3LWEyYTgtNzg0ODJlYzViNjc4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1997,yes
Herziliya Cinemateque,20/08/2024,16:00,The Crime Is Mine,https://www.hcinema.org.il/event/%d7%94%d7%a4%d7%a9%d7%a2-%d7%9b%d7%95%d7%9c%d7%95-%d7%a9%d7%9c%d7%99-the-crime-is-mine-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96-2/2024-08-20/,https://m.media-amazon.com/images/M/MV5BNWI5M2NlM2EtMTE3ZC00ZDUwLWIxZDItNWUxYzVjZjg2YjdiXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,2023,yes
Herziliya Cinemateque,20/08/2024,16:15,Despicable Me 4,https://www.hcinema.org.il/event/%d7%92%d7%a0%d7%95%d7%91-%d7%a2%d7%9c-%d7%94%d7%97%d7%99%d7%99%d7%9d-despicable-me-4-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1-2/2024-08-20/,https://m.media-amazon.com/images/M/MV5BOTk4MjFhZTMtOWIxOS00YzE2LThkZGEtMzg0MDAyMmFiZmU1XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_SX300.jpg,2024,yes
Herziliya Cinemateque,20/08/2024,18:00,A World Apart,https://www.hcinema.org.il/event/%d7%a2%d7%95%d7%9c%d7%9d-%d7%9e%d7%a4%d7%a8%d7%99%d7%93-%d7%91%d7%99%d7%a0%d7%99%d7%a0%d7%95-a-world-apart-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99/2024-08-20/2/,https://m.media-amazon.com/images/M/MV5BZjc3ZWRiOWQtM2U3MS00ZGZjLWEzMGYtMjE2N2U2M2MwYTVlXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,1988,yes
Herziliya Cinemateque,20/08/2024,18:30,Ajooma,https://www.hcinema.org.il/event/%d7%90%d7%92%d7%95%d7%9e%d7%94-ajooma-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2024-08-20/2/,,,no
Herziliya Cinemateque,20/08/2024,20:15,A World Apart,https://www.hcinema.org.il/event/%d7%a2%d7%95%d7%9c%d7%9d-%d7%9e%d7%a4%d7%a8%d7%99%d7%93-%d7%91%d7%99%d7%a0%d7%99%d7%a0%d7%95-a-world-apart-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa-%d7%a9%d7%9c%d7%99/2024-08-20/3/,https://m.media-amazon.com/images/M/MV5BZjc3ZWRiOWQtM2U3MS00ZGZjLWEzMGYtMjE2N2U2M2MwYTVlXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,1988,yes
