cinema,date,time,title
Tel Aviv Cinemateque,09/08/2024,19:00,Slide
Tel Aviv Cinemateque,09/08/2024,19:00,Ajoomma
Tel Aviv Cinemateque,09/08/2024,19:15,Last Summer
Tel Aviv Cinemateque,09/08/2024,19:30,The Crime Is Mine
Tel Aviv Cinemateque,09/08/2024,21:00,Tatami
Tel Aviv Cinemateque,09/08/2024,21:30,Last Summer
Tel Aviv Cinemateque,09/08/2024,21:45,Get the Land Back
Tel Aviv Cinemateque,10/08/2024,11:00,The Goonies
Tel Aviv Cinemateque,10/08/2024,11:00,The Crime Is Mine
Tel Aviv Cinemateque,10/08/2024,13:15,Ajoomma
Tel Aviv Cinemateque,10/08/2024,14:00,Last Summer
Tel Aviv Cinemateque,10/08/2024,15:15,It Happened on Our Ground
Tel Aviv Cinemateque,10/08/2024,16:15,Last Summer
Tel Aviv Cinemateque,10/08/2024,18:30,Tatami
Tel Aviv Cinemateque,10/08/2024,19:45,Shtaif Affect
Tel Aviv Cinemateque,10/08/2024,20:45,The Crime Is Mine
Tel Aviv Cinemateque,10/08/2024,21:00,Slide
Tel Aviv Cinemateque,10/08/2024,21:30,Ajoomma
Tel Aviv Cinemateque,11/08/2024,11:00,A World Apart
Tel Aviv Cinemateque,11/08/2024,11:30,Shtaif Affect
Tel Aviv Cinemateque,11/08/2024,17:00,Ajoomma
Tel Aviv Cinemateque,11/08/2024,17:00,On the Wandering Paths
Tel Aviv Cinemateque,11/08/2024,17:00,Full Support
Tel Aviv Cinemateque,11/08/2024,17:30,The Crime Is Mine
Tel Aviv Cinemateque,11/08/2024,18:30,Tatami
Tel Aviv Cinemateque,11/08/2024,19:00,The Great Escaper
Tel Aviv Cinemateque,11/08/2024,19:00,Last Summer
Tel Aviv Cinemateque,11/08/2024,20:45,Last Summer
Tel Aviv Cinemateque,11/08/2024,21:00,Shaft
Tel Aviv Cinemateque,11/08/2024,21:15,The Crime Is Mine
Tel Aviv Cinemateque,11/08/2024,21:30,Delegation
Tel Aviv Cinemateque,13/08/2024,11:00,Mascarpone
Tel Aviv Cinemateque,13/08/2024,11:00,It Happened on Our Ground
Tel Aviv Cinemateque,13/08/2024,11:00,A Great Friend
Tel Aviv Cinemateque,13/08/2024,11:30,Ajoomma
Tel Aviv Cinemateque,13/08/2024,11:30,Tatami
Tel Aviv Cinemateque,13/08/2024,13:30,Last Summer
Tel Aviv Cinemateque,13/08/2024,13:30,Full Support
Tel Aviv Cinemateque,13/08/2024,13:45,On the Wandering Paths
Tel Aviv Cinemateque,13/08/2024,16:00,On the Wandering Paths
Tel Aviv Cinemateque,13/08/2024,16:30,Last Summer
Tel Aviv Cinemateque,13/08/2024,16:45,The Crime Is Mine
Tel Aviv Cinemateque,13/08/2024,16:45,Ajoomma
Tel Aviv Cinemateque,13/08/2024,18:00,Ajoomma
Tel Aviv Cinemateque,13/08/2024,18:45,Delegation
Tel Aviv Cinemateque,13/08/2024,18:45,Last Summer
Tel Aviv Cinemateque,13/08/2024,19:00,Tatami
Tel Aviv Cinemateque,13/08/2024,19:45,Shtaif Affect
Tel Aviv Cinemateque,13/08/2024,20:00,The Master and Margarita
Tel Aviv Cinemateque,13/08/2024,21:15,Get the Land Back
Tel Aviv Cinemateque,13/08/2024,21:30,Snowtown
Tel Aviv Cinemateque,14/08/2024,17:00,On the Wandering Paths
Tel Aviv Cinemateque,14/08/2024,18:30,Weekend Rebels
